File;Reference;Hypothesis;subs;dels;inserts;corrects;wer;wcr;precision;recall;fScore
pest_gustav.wav; A pessimistic pest exists amidst us.;a pessimistic pest the metric system it's those ;3.0;1.0;2.0;3.0;0.8571428571428571;0.42857142857142855;0.2857142857142857;0.25;0.26666666666666666
pest_ronald.wav; A pessimistic pest exists amidst us.;a pessimistic pest exists made status ;2.0;1.0;0.0;4.0;0.42857142857142855;0.5714285714285714;0.42857142857142855;0.5;0.4615384615384615
pest_vincent.wav; A pessimistic pest exists amidst us.;a pessimistic best Texas %HESITATION it's the US ;4.0;1.0;2.0;2.0;1.0;0.2857142857142857;0.14285714285714285;0.125;0.13333333333333333
wristwatches_gustav.wav; Which witch switched the Swiss wristwatches?;which which switched that Swiss wrist watches ;3.0;1.0;1.0;3.0;0.7142857142857143;0.42857142857142855;0.2857142857142857;0.2857142857142857;0.2857142857142857
wristwatches_ronald.wav; Which witch switched the Swiss wristwatches?;which which switch the Swiss wrist watches ;3.0;1.0;1.0;3.0;0.7142857142857143;0.42857142857142855;0.2857142857142857;0.2857142857142857;0.2857142857142857
wristwatches_vincent.wav; Which witch switched the Swiss wristwatches?;which of H. switched the Swiss wrist watches ;2.0;1.0;2.0;4.0;0.7142857142857143;0.5714285714285714;0.42857142857142855;0.375;0.39999999999999997
seashells_gustav.wav; She sells seashells by the seashore.;she sells seashells by the seashore ;1.0;1.0;0.0;5.0;0.2857142857142857;0.7142857142857143;0.5714285714285714;0.6666666666666666;0.6153846153846153
seashells_ronald.wav; She sells seashells by the seashore.;she sells seashells by the seashore ;1.0;1.0;0.0;5.0;0.2857142857142857;0.7142857142857143;0.5714285714285714;0.6666666666666666;0.6153846153846153
seashells_vincent.wav; She sells seashells by the seashore.;she sells seashells by the seashore ;1.0;1.0;0.0;5.0;0.2857142857142857;0.7142857142857143;0.5714285714285714;0.6666666666666666;0.6153846153846153
priority_inversion_gustav.wav; The highest priority task relinquishes the CPU whenever it seeks to lock the semaphore guarding a critical section that is already locked by some other task.;the highest priority task relinquishes the CPU whenever it seeks to lock this summer for guarding a critical section that is already locked by some other task ;3.0;1.0;1.0;23.0;0.18518518518518517;0.8518518518518519;0.8518518518518519;0.8888888888888888;0.8699763593380615
priority_inversion_ronald.wav; The highest priority task relinquishes the CPU whenever it seeks to lock the semaphore guarding a critical section that is already locked by some other task.;when a lower priority task blocks a higher priority one the priority inversion set to occur ;13.0;11.0;0.0;3.0;0.8888888888888888;0.1111111111111111;0.2222222222222222;0.5;0.30769230769230765
priority_inversion_vincent.wav; The highest priority task relinquishes the CPU whenever it seeks to lock the semaphore guarding a critical section that is already locked by some other task.;when a low priority Tosk blocks a high priority one a priority information is set to occur consider the following example I play all the information takes place ;26.0;0.0;1.0;1.0;1.0;0.037037037037037035;0.2222222222222222;0.35714285714285715;0.27397260273972607
mail_male_gustav.wav; He found a mountain of mail waiting for him. Many women earn less than their male colleagues.;many women earn less than their male colleagues ;1.0;10.0;0.0;7.0;0.6111111111111112;0.3888888888888889;0.3333333333333333;0.75;0.46153846153846156
